B0009XLVG0,B001L1KH6Y,B003THML30,B004YWHTBS,B003WLC4VC,B003THQKXM,B003NZHOQ2,B005LXGGH2,B000G82L5I,B000FBQ5EY,B003THTKZC,B003UE2X2G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B005K4Q4KG,B004BY5PXS,B0076MLL12,B005K4Q1T0,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B004CYLW7A,B0041FWE54,B001LG940E,B0090X8IPM,B003GTR8IO,B0060KOF4Q,B004U49QU2,B005K4Q4KG,B002TSA91Q,B002TSA91G,B005VOOQHS,B0076MLL12,B005K4Q1T0,B003VQXYMQ,B004E4EBMG,B002TN49F8,B004I3Y4IE,B005K4Q68Q,NaN
B005K4Q1VI,B005K4Q4KG,B006N08SPA,B001E5E33U,B0076MLL12,B005K4Q1T0,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B0009YUGA6,B005K4Q4KG,B0076MLL12,B005K4Q1T0,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B000PDY3P0,B002YJ0118,B005K4Q4KG,B0076MLL12,B000PDY3HI,B005K4Q1T0,B000PDWBKO,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B005K4Q37A,B005K4Q4KG,B005K4Q1RW,B0076MLL12,B004TJF3BE,B005K4Q1W2,B005K4Q4LK,B009RB4GO4,B005K4Q1T0,B005K4Q1YA,B005K4Q34S,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B000EVIDUY,B005K4Q4KG,B0076MLL12,B005K4Q1T0,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B003LWOS7A,B005K4Q4KG,B005K4Q1RW,B0076MLL12,B004TJF3BE,B005K4Q1W2,B009RB4GO4,B005K4Q1T0,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B000H7F78Q,B000DZH19U,B005K4Q4KG,B0076MLL12,B005K4Q1T0,B000H7GS5W,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B005K4Q4KG,B0076MLL12,B000H151ME,B002MAH7MK,B005K4Q1T0,B003Z6SOMC,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B001HWWKW6,B005K4Q4KG,B006N3HY48,B0076MLL12,B005K4Q1T0,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B0061PPLYI,B005K4Q4KG,B0076MLL12,B005K4Q1T0,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B007TGDXNO,B005ZBZLT4,B007Y59HVM,B005K4Q4KG,B0076MLL12,B005K4Q1T0,B005ZBZLSU,B005GAORJE,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B005K4Q37A,B005K4Q4KG,B0076MLL12,B005K4Q4LK,B005K4Q1T0,B000YPIJTU,B005K4Q1YA,B005K4Q34S,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B002ANCCK6,B003SE52K8,B001M09ATY,B003VXFK44,B003VXFK44,B006N3IG4K,B006N3IG4K,B000N648QI,B000EH2QP6,B000EH2QPQ,B00427ZLOC,B00427ZLOM,B004I613H6,B001QE7S4K,B00139C3P2,B002C1WC88,B001AWDGXA,B001KUSKHY,B001KUUNHE
B005K4Q1VI,B005K4Q4KG,B000O2EV8G,B0076MLL12,B00128DPT2,B005K4Q1T0,B000E46LXM,B000WV153I,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B0061UQBSS,B006G1C6K4,B005K4Q4KG,B0076MLL12,B005K4Q1T0,B0087GGS3W,B000QV2GNW,B005XB67F8,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B000COMPIY,B003DMXDGA,B001CU0N7C,B004CYJX2Q,B001CTYT6E,B000CONM86,B005K4Q4KG,B004CYLVWG,B000FBKGAS,B005K4Q1RW,B0076MLL12,B004TJF3BE,B005K4Q1W2,B001SB44PC,B009RB4GO4,B005K4Q1T0,B001CHFUGY,B001CU0N9K,B000CORSCW
B005K4Q1VI,B004UBZBMW,B005K4Q4KG,B007PA32L2,B0076MLL12,B004UC7CMS,B005K4Q1T0,B003Z6ZGZU,B003LTKQFG,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B0032BXUJM,B0049ULB78,B007PA30ZU,B00474CSVE,B0087GGLSE,B005K4Q4KG,B008QLRHDS,B001EO5Y8Y,B0076MLL12,B0045IO37Y,B005XB4UP2,B0061UQ8Y0,B003KRHDMI,B005K4Q1T0,B0032CB15Q,B001M2BM4I,B004779XNW,B005K4Q68Q,NaN
B005K4Q1VI,B000AYFBY6,B000XSJLW2,B000E4ALHY,B000E46GGO,B000XZFZI4,B005K4Q4KG,B0076MLL12,B000P54HVS,B000XSGMHO,B000P52FLW,B005K4Q1T0,B001E4S8GO,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B000FBQ594,B007FRDXMI,B005K4Q4KG,B0076MLL12,B007FRCNCE,B007FRCWU2,B005K4Q1T0,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B0050JSRU6,B005K4Q4KG,B0076MLL12,B002Z2QBOA,B005K4Q1T0,B005XB145Q,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B005K4Q37A,B005K4Q4KG,B0076MLL12,B005K4Q4LK,B005K4Q1T0,B005K4Q1YA,B005K4Q34S,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B005K4Q37A,B005K4Q4KG,B0076MLL12,B005ZBZLPI,B005K4Q4LK,B005K4Q1T0,B005K4Q1YA,B005K4Q34S,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B005K4Q4KG,B0076MLL12,B0060KOGLI,B005K4Q1T0,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B0002DJXRQ,B0002L3BYO,B0002L3BYE,B005K4Q4KG,B003WO0I6C,B0076MLL12,B005K4Q1T0,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B005K4Q4KG,B0076MLL12,B005HGAV0Q,B005K4Q1T0,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B003THML30,B005K4Q4KG,B004YWHTBS,B003VMUILA,B003WLC4VC,B003THQKXM,B0076MLL12,B003NZHOQ2,B005LXGGH2,B005K4Q1T0,B003THTKZC,B000N33NSU,B003UE2X2G,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B00390T5JA,B005K4Q4KG,B0076MLL12,B005K4Q1T0,B000NMG87Y,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B005K4Q4KG,B0076MLL12,B005K4Q1T0,B004HLAHUQ,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B00389Q4XW,B005K4Q4KG,B0076MLL12,B005K4Q1T0,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B003QU2LYY,B004H6MV28,B005K4Q4KG,B0087ACS5A,B0076MLL12,B007SI3WAM,B005K4Q1T0,B004QDA8WC,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B005K4Q37A,B005K4Q4KG,B0076MLL12,B005K4Q4LK,B005K4Q1T0,B005K4Q1YA,B005K4Q34S,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B004DPDXMA,B004G5ZYN8,B004G5ZYQA,B004G5ZYQU,B004G5ZYTM,B004G5ZYVA,B000PG8KGU,B005K4Q4KG,B004G5ZYOW,B004G5ZYRY,B0076MLL12,B004G5ZYU6,B005K4Q1T0,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B0089SPEO2,B0089SPEM4,B004770OLM,B005K4Q4KG,B007OXJM6E,B0076MLL12,B005K4Q1T0,B004772PJQ,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B003VXFK44,B006N3IG4K,B000FIXT2I,B001O8PSRW,B00474QXQA,B003VXHGPK,B005K4Q4KG,B001VNEBSC,B008K9TDSS,B003VXHGE6,B0076MLL12,B003VXL0V6,B0089SPDWK,B005K4Q1T0,B004FCZM20,B000FAPLYU,B003TC7WN4,B006N3IE6A,B004FGWU9O
B005K4Q1VI,B006N3I0N2,B005K4Q4KG,B007TJGY5K,B0076MLL12,B005K4Q1T0,B001D0GVAO,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B000MICPSA,B0027Z54D4,B005K4Q4KG,B001E52XGO,B0076MLL12,B005K4Q1T0,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B005K4Q4KG,B001EO65KA,B003LTZQ4M,B0076MLL12,B005K4Q1T0,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B000W5SLEU,B005K4Q4KG,B000W5SLHW,B0076MLL12,B002YFZ7IY,B005K4Q1T0,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005K4Q1VI,B000V1O40U,B005K4Q4KG,B0076MLL12,B005K4Q1T0,B005K4Q68Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001NH40UA,B001NH727I,B001M2X354,B001M2X5FM,B007B9UI1Y,B0076FMGTA,B002GWQ2Z2,B007B9UETK,B001NH09R8,B001NH3ZM4,B001NH1W3I,B001EO60B4,B001NH5J4Q,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B000YPKODY,B000CQE3HS,B000CQID1A,B000RI1W8E,B000CQE3IC,B000CQID1K,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B005ZHJI9C,B005GX7GVW,B001GBBQU0,B0002DJXRQ,B00401OY6Q,B007ZMQKDW,B001TJILOI,B005GRBU4M,B003M61XGO,B001990HWM,B001OXLNNU,B007EAO1WW,B0039VLK4W,B007FUE4KK,B003BYKRKU,B000SKWGYU,B0041TASY4,B005GWZ2J6,B007EZ9FH8,B002X4SXAA
B005ZHJI9C,B005GX7GVW,B000LKV4QI,B0001BUMNS,B000M7NH8I,B005GRBU4M,B0018KR8V0,B0019412IK,B000EPOC2S,B0009F3PQM,B004GW6O9E,B000EPP588,B000ORSIJ4,B000FN5OTY,B000EPOC1Y,B0001BULDY,B000E1694G,B0009F3SA0,B0009F3SBY,B000GZW5AC
B005KDJEJK,B001E5E20O,B001EQ5JLE,B004JRKEH4,B002AR14WO,B0061IUKDM,B001Q9EGFY,B0000DJDJZ,B0001FQVGQ,B001E5E1WS,B001Q9EGFE,B004JRO1S2,B0036VFTL0,B001BM62T4,B002AR158W,B004OVATOI,NaN,NaN,NaN,NaN
B001HTI4TM,B001EPQZ2M,B001EO7JBE,B000V12QFU,B001AHLPT2,B0040K41MY,B003VYDDO2,B007RTR9FQ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B000GDAVXW,B000E7YPPK,B000GZUBIU,B000E123IC,B000GPNKRE,B000BWE4TU,B000GDAYA2,B0031VBIDI,B000E123M8,B000LL0R92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B000GDAVXW,B0001217OA,B0001M0Z3O,B0029NVMXA,B001EQ4PGO,B000F6STQG,B000NSJ5U0,B000GDB096,B001SB4W9K,B001EO5XV2,B001ELL8KU,B000AYGY9M,B0046LA842,B000G82L62,B004JRKEH4,B000FAPLZ4,B000RHXMCY,B0019ZHZYO,B00866AM2G,B0017I1Q9I
B00762B7XY,B005HO0ARM,B009LT26BC,B000V9EIKI,B005HO0A18,B000WL58J0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B0040PWYVO,B002TMV3E4,B000LKZ84C,B003EML8PM,B00374Y7C8,B001EPPCFS,B000EH2QP6,B000EH2QPQ,B00141QYSQ,B001ATZOAQ,B003EM7J9Q,B001EQ5ACC,B003120Y4Q,B000FK63IS,B001EQ57SE,B000KSTY86,B004OVWQDA,B003R0LKTA,B003R0LKTK,B000EGZ2R6
B0040PWYVO,B008Z4VAPM,B0000GHXSG,B0000GHXSQ,B001M0G1SC,B0000GHNWM,B000BIQLL8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B0040PWYVO,B001EPPCFS,B003QNJYXM,B001AS1A4Q,B0029ZAOW8,B001EPPC80,B003QNLUTI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B006WW3GYC,B000IKCOTC,B0093NICRI,B006WW2396,B0093NIJG2,B000IKCP9G,B0093NIBOW,B0093NIDFO,B002ATDX7G,B0093NIISG,B0093NIK1G,B0093NJVAK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B006WW3GYC,B001E0QE1Y,B0093NICRI,B000IKCP9G,B0093NIBOW,B0093NIDFO,B00169KIDS,B0093NJVAK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B0009P82YM,B001LG945O,B0045XE32E,B000255OIG,B0002DGRPC,B000H2259K,7310172001,7310172101,B0034EDLS2,B0034EDMCW,B0002DGRZC,B0002DGRRA,B000H25W5E,B001B4VOQI,B0002DGRQ6,B0034EDMLI,B0034EDM2W,B000UXHCYO,B0002DGRSY,B0017OTGOE
B00433ICSC,B000UVBYRM,B000UVBYRM,B000EVT06K,B000FRSSFC,B000FRSSFC,B000812K0O,B000812K0O,B001181NBA,B001181NBA,B001GL6GBE,B001GL6GBE,B00014JYNO,B00014JYNO,NaN,NaN,NaN,NaN,NaN,NaN
B000YB7XQ4,B007JFMH96,B002D4DY8G,B0016PC4TS,B003XDH6M6,B005VUILWI,B0054I4LTO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B000FDKQC4,B002B8ODPW,B000FYVKRS,B0051IW6EY,B0006ZN4Z2,B000YPH8CE,B000MICPUI,B000LKYZDW,B000LKTP9G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B000FDKQC4,B000ETAJZ8,B000ETAJZI,B000EPMP40,B000ETGBN2,B00250I61S,B001PQNV6S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B000FDKQC4,B0057R54UM,B00168NGGK,B005DU2QRC,B001ACNWUC,B002GE0ODG,B002MVG48W,B001HTI24E,B003XB5LMU,B000214300,B001O8PMQE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B000ER1DIM,B000I1RHMU,B000ER1ER2,B000CQC0BE,B000CQIDK6,B000GZSDSA,B000CONM8Q,B001O023FK,B003CK0WLM,B000CQIDAG,B00112ILZM,B004LWL9ZS,B000NIFO96,B000CQBZV0,B003BGRUPI,B003CK7MME,NaN,NaN,NaN,NaN
B000ER1DIM,B000ER1ER2,B0030VJ70K,B0030VBQ5Y,B002ZOG2K6,B0030VJ79Q,B0030VBPN2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B00113XJQW,B00141UC9I,B001AJ1ULS,B00141WDXG,B00141OX52,B00141OU50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B0045IK1CK,B003VXFK44,B003VXFK44,B006N3IG4K,B006N3IG4K,B0037B22R8,B003VXHGPK,B003VXHGPK,B003VXHGE6,B003VXHGE6,B003VXL0V6,B003VXL0V6,B003TC7WN4,B003TC7WN4,B006N3IE6A,B006N3IE6A,B004DNB324,B004FGWU9O,B004FGWU9O,B003VXHGDM
B0045IK1CK,B003VXFK44,B006N3IG4K,B0032GHKXO,B005K4Q37A,B005K4Q37A,B001WRHQRA,B003VXHGPK,B004WJATHO,B0030H1WW0,B007OXJL0G,B004LL4YOM,B000V0CW5K,B003BGBVQ2,B003VXHGE6,B006N3HWGS,B004779XSM,B003VXL0V6,B005K4Q4LK,B005K4Q4LK
B0045IK1CK,B001EQ4E60,B003VVPFEG,B000EQYWE0,B004I05VDY,B000MRTSB8,B0006FZCNE,B000HYE93S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B004SFNFEG,B004SRH2B6,B004SRH2B6,B003VXE46Y,B0045H0KYA,B004T80BYE,B001EO5Q64,B005HGIVTY,B000CNB4LE,B000CNB4LE,B006VXDNAO,B003AU27XA,B004SRFYMK,B004SRFYMK,B005FC6T08,B001E5E10K,B001XUM9B4,B000PFEWEA,B003CIBPN8,B003CIBPN8
B004SFNFEG,B003CJN0OO,B003TNANSO,B008JKTTUA,B001SAUMQ8,B008JKTH2A,B002UVLPA6,B001D0DMMY,B001D0DMME,B001IZM5WC,B001D09KAM,B008JKSJJ2,B008JKU2CO,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B000YSTH16,B000FBL8FU,B00113K0X2,B000FFRY4U,B000FFQ216,B000FFRY2C,B000FFLXOC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B000YSTH16,B00113K0X2,B000LKXC3Q,B000FFRY4U,B000FFQ216,B000LKTVUO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B00016UX0K,B0029O0EFG,B0011DMUDK,B001TZJ3OE,B000FA38ZY,B0001DMTPU,B006BXUYN8,B00099XNG0,B003X0RUN4,B0029O0VUE,B0009F3SA0,B008EG5ADY,B000B7PNI6,B0002D1590,B004T3QMD8,B004JRMG98,B0029NUWA4,B0002G3UZE,B0029O0HZS,B008MQ1AY4
B00016UX0K,B001TZJ3OE,B005J0JX8G,B000HDJZEM,B0041NYV8E,B0047YX0J8,B006J4MAIQ,B003M5VFTA,B007C683MW,B00474IY3K,B005VOONKI,B005VOOM4A,B0041CIR62,B0061IUKDM,B005VOOM2W,B005VOONLW,B005VOOKS8,B007RTR8T8,B004E4CCSQ,B008EG58V8
B00016UX0K,B000II27QE,B0002HAB32,B001TZJ3OE,B0001VWBJQ,B0002L2HYY,B000G82L62,B000K7644E,B001VNEB3C,B0008JEYUA,B000JMBEEU,B000I612BC,B001EO5SW6,B003H53CVY,B000H25XVW,B005CM9ZMA,B000H25S8U,B001HTKUSU,B0015Q8VAE,B0002QEIX2
B00016UX0K,B001TZJ3OE,B000LQORDE,B004TNXDDU,B008MQ1AY4,B005AMAPGW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B00016UX0K,B001TZJ3OE,B0000VLU0I,B000HA3IAW,B000LUC48K,B008MQ1AY4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B00016UX0K,B001TZJ3OE,B000FDDESM,B008MQ1AY4,B0036FB6FY,B001EO5WLS,B008BY7NSE,B0039OVW74,B009E7YC54,B004P4POZ8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B00016UX0K,B001TZJ3OE,B002OK2FCA,B000EICPAG,B008MQ1AY4,B000ET4SM8,B000EI2LLO,B0002PSOJW,B009HXB2JO,B000GZSDZI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B00016UX0K,B002Q7RMWE,B001TZJ3OE,B004QXH5AA,B0029K15T4,B0002YGSJQ,B0002CRZRW,B0000CNU15,B004WZ4DJS,B000SATIO6,B001E5E1XW,B008MQ1AY4,B000GB2524,B000F6MOVC,B004S8N7S2,B001EO5ZZ6,B00207871A,B000SARJVA,B00421RO7A,B000F4I3AU
B00016UX0K,B001TZJ3OE,B00126IBVG,B001269GT2,B001269GUG,B002CENRLG,B0045JABQU,B008MQ1AY4,B001269GTW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B00016UX0K,B001LG945O,B000S15BMS,B001TZJ3OE,B008MQ1AY4,B004FEN3GK,B004YGQPCI,B004YGQPAK,B001EO7MFW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001L1DYAA,B005FY6B4U,B003D4MIY6,B000LL0ZIK,B005CMFPNS,B003D4IFES,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001L1DYAA,B001IZK8XA,B002W9BL6Y,B003XLYPCM,B0042M7PS2,B001KWEZTO,B001EQ5FO0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001L1DYAA,B0001JXE6M,B000FXYLQ6,B001L1IQHQ,B000OZP7CM,B001FA1KTO,B001RJ7D9E,B001L1IRMK,B001EPQUEA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001L1DYAA,B00448JJLA,B001P2KCXC,B000FPJ6QO,B001L1KG3I,B0041L3MAE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001L1DYAA,B008ZRKZSM,B002GJ9JWS,B001L1KG3I,B002GJ9JY6,B001L1MI70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B007TGL2TQ,B000EZSFX0,B006YDEC24,B004283D32,B000EZOP0C,B002XNTJM2,B004727B18,B000NMCJV8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B000X2CWTM,B000EGZ9AQ,B000XSJLW2,B000I5FD3Q,B000VMBE8E,B001E5E06U,B001E5E060,B001EQ5GC6,B000E4ALHY,B000E46GGO,B000GREO68,B00384Q10I,B000MWYAMU,B000I5FD2M,B000CQ4D50,B000LKVB6Q,B000P54HVS,B001EO5SCQ,B000LKZ3I8,B000XSGMHO
B000X2CWTM,B004T80BYE,B001EO5UVK,B000J36M4Q,B002RBOCV8,B003YEZ9X2,B000EF3E6S,B0002VXYQY,B000F4D4DQ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B000X2CWTM,B000EHL21U,B000EHP522,B000Z3V3LM,B003MQ9GZE,B0014DZQA6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B000X2CWTM,B0013NUGDE,B007M83302,B0026BQKT6,B0024LAQ1Q,B000VK8AVK,B000FEJ0VQ,B002JG5TVS,B001KUSLGY,B001RVFEP2,B0026KNQSA,B007M832YY,B009M2LPHO,B001KUOH26,B003M5802K,B0026KPDG8,B000LKZDO2,B001RVFERK,B006HYLW32,NaN
B000X2CWTM,B000ES3LMC,B001HTJ49G,B001GCVLVI,B005V9ZB8Q,B004NRTVWE,B001M0A6LA,B0041NYV8E,B004LG2AW0,B001EO5XV2,B000UVEZH8,B000FBQ5GW,B002IEZJMA,B002C37TM0,B001SAYFK2,B004TI4SIE,B002LANN56,B001EPQ18K,B0010BQB6A,B000FI61OQ
B000X2CWTM,B00412W76S,B00020HHRW,B0014B0HWK,B000FVDWU4,B0016B7Z32,B0009VO58S,B00073IVAQ,B000FVBYCW,B00020HHAO,B0058D3IEE,B00020HHM2,B00142BX68,B000VJYTZM,B00188S3PM,B000M0F58U,B0006I5M2M,B001GCTTRQ,B00020HHHC,B007RLRCLK
B002979DP0,B001LG945O,B003HTPJPW,B002IEZJMA,B0018KR8V0,B004GW6O9E,B006N839MY,B004FELBH8,B0013FHCXY,B004U43ZO0,B002TSA91Q,B002TSA91G,B000ENUC3S,B002IEVJRY,B006BXV14E,B0018KLPFK,B0010TCFYO,B002TN49F8,B004JGQ15Y,B001E5E3FS
B0012R3N7C,B001XWRE3K,B000NP5UNO,B000G176EG,B001FOPQL8,B000EEWZG4,B000FDB3YY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001M074MY,B000UBDKII,B001EQ5GXK,B008O2EHNC,B000UBH9YE,B007FK3JS8,B000UBD88A,B000UBD88A,B0013A0QXC,B0013A0QXC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001M074MY,B0007NOWMM,B002HQLY7S,B001EQ5GXK,B004OVWQDA,B0001ES9F8,B000UUWECC,B001E6EJQU,B001M074LA,B003N0ZEKU,B001EO60GY,B007TJGZ0Y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001M074MY,B004ZIER34,B004R8J8E0,B004CLCEDE,B002IEZJMA,B001EQ5GXK,B004YV80O4,B001E4S86E,B0001JXDO0,B0041CIR62,B001M074ME,B005HGRWEE,B000F9XB7U,B00473USSK,B004BKLHOS,B0051COPH6,B004JRO1S2,B004FEN3GK,B000E1FZBE,B001EO5TNY
B001M074MY,B002QWP89S,B0026RQTGE,B001EQ5GXK,B001M0508O,B002QWHJOU,B002QWP8H0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B003159ETE,B000FA38ZY,B000RHXH4W,B004FELBH8,B005SPQENY,B0041CIR62,B0077DR0L0,B004TPKAN4,B004FEN3GK,B004FEN3GA,B005Z6VY18,B0041CIP3M,B005JYS20W,B004JGQ15E,NaN,NaN,NaN,NaN,NaN,NaN
B000GEVGXA,B0008IT4LK,B0002NYMJU,B0002NYMK4,B0008IT4R4,B0015ILNNO,B0008JGWU0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
